integer,INTEGER
long,BIGINT
short,INTEGER
float,FLOAT
double,NUMERIC
bigdecimal,NUMERIC
character,CHAR(1)
string,VARCHAR
byte,TINYINT
boolean,BOOLEAN
date,DATE
time,TIME
timestamp,TIMESTAMP
calendar,TIMESTAMP
calendardate,DATE
binary,BLOB
text,CLOB
serializable,BLOB
clob,CLOB
blob,BLOB
class,VARCHAR
locale,VARCHAR
timezone,VARCHAR
currency,VARCHAR
